grid,year,round,alt,constructorRef_ferrari,constructorRef_mclaren,constructorRef_williams,constructorRef_red_bull
11,2002,13,264,0.0,1.0,0.0,0.0
23,1981,1,12,0.0,1.0,0.0,0.0
0,1958,8,578,0.0,0.0,0.0,0.0
0,1988,12,162,0.0,0.0,0.0,0.0
5,1975,14,485,0.0,0.0,0.0,0.0
16,2013,12,162,0.0,0.0,0.0,0.0
1,2015,7,13,0.0,0.0,0.0,0.0
2,1960,1,8,0.0,0.0,0.0,0.0
9,1994,16,58,0.0,1.0,0.0,0.0
15,1995,16,45,0.0,0.0,0.0,0.0
0,1989,16,58,0.0,0.0,0.0,0.0
14,1991,1,345,0.0,0.0,0.0,0.0
16,2012,19,161,0.0,0.0,0.0,0.0
18,1989,11,401,0.0,0.0,0.0,0.0
22,1983,14,145,0.0,0.0,0.0,0.0
12,1974,10,145,0.0,0.0,0.0,0.0
17,2010,12,264,0.0,0.0,0.0,0.0
21,1981,9,153,0.0,0.0,0.0,0.0
13,1976,4,609,0.0,0.0,0.0,0.0
19,1984,2,1460,0.0,0.0,0.0,0.0
0,1990,13,130,0.0,0.0,0.0,0.0
11,1981,10,103,0.0,0.0,0.0,0.0
17,2000,13,401,0.0,0.0,0.0,0.0
26,1979,9,153,0.0,0.0,0.0,0.0
1,1982,4,37,0.0,0.0,0.0,0.0
23,1994,13,130,0.0,0.0,0.0,0.0
1,1950,4,551,0.0,0.0,0.0,0.0
13,1972,6,790,0.0,1.0,0.0,0.0
1,1991,4,7,0.0,1.0,0.0,0.0
13,2014,7,13,0.0,0.0,0.0,0.0
18,1994,10,264,0.0,0.0,0.0,0.0
23,1987,16,58,0.0,0.0,0.0,0.0
5,1979,4,12,0.0,0.0,0.0,0.0
24,1970,9,678,0.0,0.0,0.0,0.0
3,1962,2,7,0.0,0.0,0.0,0.0
7,1986,14,130,0.0,1.0,0.0,0.0
22,1959,2,223,0.0,0.0,0.0,0.0
4,1982,5,36,0.0,1.0,0.0,0.0
6,1984,6,7,0.0,0.0,0.0,0.0
1,2000,14,162,1.0,0.0,0.0,0.0
4,1960,1,8,0.0,0.0,0.0,0.0
21,1987,2,37,0.0,0.0,0.0,0.0
5,2005,17,785,0.0,1.0,0.0,0.0
26,1989,7,432,0.0,0.0,0.0,0.0
14,1981,7,609,0.0,1.0,0.0,0.0
22,2001,8,13,0.0,0.0,0.0,0.0
15,2001,5,109,0.0,0.0,0.0,0.0
11,1990,1,345,0.0,0.0,0.0,0.0
13,1964,7,676,0.0,0.0,0.0,0.0
7,1990,15,45,0.0,0.0,1.0,0.0
5,1993,5,109,0.0,0.0,0.0,0.0
17,1994,10,264,0.0,0.0,0.0,0.0
2,2009,14,18,0.0,0.0,0.0,1.0
19,2011,13,162,0.0,0.0,0.0,0.0
17,1968,8,578,0.0,0.0,0.0,0.0
13,1999,1,10,0.0,0.0,0.0,0.0
9,1989,12,162,0.0,0.0,0.0,0.0
1,1987,9,264,0.0,0.0,1.0,0.0
15,1988,12,162,0.0,0.0,0.0,0.0
23,1989,16,58,0.0,0.0,0.0,0.0
24,1982,11,432,0.0,0.0,0.0,0.0
6,1973,14,332,0.0,0.0,0.0,0.0
5,1993,10,103,0.0,0.0,0.0,0.0
7,1995,4,109,0.0,0.0,0.0,0.0
26,1953,9,162,0.0,0.0,0.0,0.0
22,1994,6,13,0.0,0.0,0.0,0.0
19,2012,3,5,0.0,0.0,0.0,0.0
22,1983,11,678,0.0,0.0,0.0,0.0
17,2010,19,3,0.0,0.0,0.0,0.0
5,2002,9,578,0.0,1.0,0.0,0.0
18,2001,2,18,0.0,0.0,0.0,0.0
0,1989,13,130,0.0,0.0,0.0,0.0
3,1955,2,7,0.0,0.0,0.0,0.0
14,2007,7,223,0.0,0.0,1.0,0.0
7,2006,14,130,0.0,1.0,0.0,0.0
10,1995,17,58,0.0,1.0,0.0,0.0
2,1993,3,88,0.0,0.0,1.0,0.0
16,1960,1,8,0.0,0.0,0.0,0.0
2,1994,6,13,1.0,0.0,0.0,0.0
13,2010,3,18,0.0,0.0,0.0,0.0
0,1981,5,36,0.0,0.0,0.0,0.0
9,2006,5,578,0.0,0.0,0.0,0.0
8,1978,6,36,0.0,0.0,0.0,0.0
16,1980,3,1460,0.0,0.0,0.0,0.0
13,2014,19,3,0.0,0.0,0.0,0.0
25,1985,2,130,0.0,0.0,0.0,0.0
21,1993,1,1460,0.0,0.0,0.0,0.0
18,1984,6,7,0.0,0.0,0.0,0.0
0,1974,12,678,0.0,0.0,0.0,0.0
1,1974,2,785,0.0,1.0,0.0,0.0
0,1980,11,6,0.0,0.0,0.0,0.0
22,2002,5,109,0.0,0.0,0.0,0.0
6,1981,14,13,0.0,0.0,0.0,0.0
20,1991,8,153,0.0,0.0,0.0,0.0
9,1994,10,264,0.0,0.0,0.0,0.0
7,1974,13,162,0.0,0.0,0.0,0.0
3,2009,17,3,0.0,0.0,0.0,1.0
21,1975,7,153,0.0,0.0,0.0,0.0
12,1984,6,7,0.0,0.0,0.0,0.0
11,1976,16,583,0.0,0.0,0.0,0.0
19,1977,1,8,0.0,0.0,0.0,0.0
0,1982,9,6,0.0,0.0,0.0,0.0
7,1984,14,162,0.0,0.0,0.0,0.0
14,1983,3,432,0.0,1.0,0.0,0.0
9,2004,2,18,0.0,1.0,0.0,0.0
18,1970,7,145,0.0,0.0,0.0,0.0
3,1950,4,551,0.0,0.0,0.0,0.0
22,1974,15,485,0.0,0.0,0.0,0.0
8,2009,8,153,0.0,0.0,0.0,0.0
16,2002,6,678,0.0,0.0,0.0,0.0
2,2000,4,153,0.0,0.0,0.0,0.0
18,1964,2,6,0.0,0.0,0.0,0.0
13,1982,10,145,1.0,0.0,0.0,0.0
7,1992,4,109,0.0,1.0,0.0,0.0
1,1973,3,1460,0.0,1.0,0.0,0.0
0,1988,11,401,0.0,0.0,0.0,0.0
19,1971,11,485,0.0,0.0,0.0,0.0
19,1955,1,8,0.0,0.0,0.0,0.0
0,1977,12,678,0.0,0.0,0.0,0.0
4,1991,5,13,1.0,0.0,0.0,0.0
18,1982,2,1126,0.0,0.0,0.0,0.0
9,1971,2,79,0.0,1.0,0.0,0.0
4,1985,15,1460,0.0,0.0,0.0,0.0
4,1991,2,785,0.0,1.0,0.0,0.0
17,1972,6,790,0.0,0.0,0.0,0.0
2,2012,20,785,0.0,1.0,0.0,0.0
17,1999,6,13,0.0,0.0,0.0,0.0
20,1984,16,130,0.0,0.0,0.0,0.0
8,1973,14,332,0.0,0.0,0.0,0.0
24,1983,3,432,0.0,0.0,0.0,0.0
19,1952,6,578,0.0,0.0,0.0,0.0
10,1997,2,785,0.0,0.0,0.0,0.0
7,2002,4,37,0.0,0.0,0.0,0.0
18,2007,2,18,0.0,0.0,0.0,0.0
12,1967,6,153,0.0,0.0,0.0,0.0
8,2007,16,5,0.0,0.0,0.0,0.0
3,1971,6,153,0.0,0.0,0.0,0.0
18,1975,4,79,0.0,0.0,1.0,0.0
16,1990,4,7,0.0,0.0,0.0,0.0
4,1957,4,81,0.0,0.0,0.0,0.0
15,1975,12,678,0.0,0.0,0.0,0.0
19,1994,7,228,0.0,0.0,0.0,0.0
12,1986,7,177,0.0,0.0,0.0,0.0
1,1970,2,609,0.0,0.0,0.0,0.0
7,1957,7,129,0.0,0.0,0.0,0.0
4,1954,1,8,1.0,0.0,0.0,0.0
5,1954,2,223,0.0,0.0,0.0,0.0
10,1976,13,162,0.0,0.0,0.0,0.0
5,1990,1,345,0.0,1.0,0.0,0.0
10,1962,2,7,1.0,0.0,0.0,0.0
12,1984,2,1460,0.0,0.0,0.0,0.0
26,1983,6,401,0.0,0.0,0.0,0.0
7,1993,12,401,0.0,0.0,0.0,0.0
18,1963,5,153,0.0,0.0,0.0,0.0
18,2000,1,10,0.0,0.0,0.0,0.0
3,1987,9,264,0.0,0.0,1.0,0.0
17,2000,1,10,0.0,0.0,0.0,0.0
7,2010,4,5,1.0,0.0,0.0,0.0
2,2015,14,45,0.0,0.0,0.0,0.0
16,1980,13,13,0.0,0.0,0.0,0.0
2,2001,7,7,1.0,0.0,0.0,0.0
10,2012,1,10,0.0,0.0,0.0,0.0
23,1986,13,162,0.0,0.0,0.0,0.0
14,2015,7,13,0.0,0.0,0.0,0.0
18,2014,8,678,0.0,0.0,0.0,0.0
3,1992,16,58,0.0,0.0,1.0,0.0
20,2014,9,153,0.0,0.0,0.0,0.0
18,1981,9,153,0.0,0.0,0.0,0.0
24,1982,10,145,0.0,0.0,0.0,0.0
22,1971,2,79,0.0,0.0,0.0,0.0
6,1995,5,7,0.0,1.0,0.0,0.0
16,1993,3,88,0.0,0.0,0.0,0.0
9,1998,3,8,0.0,0.0,0.0,0.0
20,1984,8,177,0.0,0.0,0.0,0.0
12,1953,3,6,0.0,0.0,0.0,0.0
21,1993,5,109,0.0,0.0,0.0,0.0
7,1956,4,401,0.0,0.0,0.0,0.0
16,1983,1,1126,0.0,1.0,0.0,0.0
25,1993,12,401,0.0,0.0,0.0,0.0
7,1985,13,401,0.0,0.0,1.0,0.0
7,1997,9,153,1.0,0.0,0.0,0.0
4,2010,7,130,0.0,1.0,0.0,0.0
3,2015,7,13,1.0,0.0,0.0,0.0
10,1955,1,8,0.0,0.0,0.0,0.0
20,2000,10,678,0.0,0.0,0.0,0.0
14,1987,13,37,0.0,0.0,0.0,0.0
21,2010,15,18,0.0,0.0,0.0,0.0
0,1982,15,162,0.0,0.0,0.0,0.0
18,1982,15,162,0.0,0.0,0.0,0.0
5,2008,8,228,0.0,0.0,0.0,0.0
0,1963,1,7,0.0,0.0,0.0,0.0
3,1959,2,223,0.0,0.0,0.0,0.0
25,1989,3,7,0.0,0.0,0.0,0.0
14,1978,7,609,0.0,1.0,0.0,0.0
19,2008,13,401,0.0,0.0,1.0,0.0
2,1991,1,345,1.0,0.0,0.0,0.0
7,2001,13,264,0.0,0.0,0.0,0.0
7,1996,7,109,0.0,0.0,0.0,0.0
18,1977,1,8,0.0,0.0,0.0,0.0
8,2008,3,7,0.0,0.0,1.0,0.0
8,1950,7,162,0.0,0.0,0.0,0.0
6,1969,10,485,0.0,0.0,0.0,0.0
1,2012,8,4,0.0,0.0,0.0,1.0
24,1989,14,37,0.0,0.0,0.0,0.0
20,1978,12,678,0.0,1.0,0.0,0.0
8,1960,1,8,0.0,0.0,0.0,0.0
21,1984,2,1460,0.0,0.0,0.0,0.0
0,1989,12,162,0.0,0.0,0.0,0.0
17,2007,13,162,0.0,0.0,0.0,0.0
3,1983,15,1460,0.0,0.0,0.0,0.0
1,1989,9,103,0.0,1.0,0.0,0.0
2,1981,3,8,0.0,0.0,0.0,0.0
5,1956,4,401,1.0,0.0,0.0,0.0
1,2011,10,578,0.0,0.0,0.0,1.0
19,1991,9,103,0.0,0.0,0.0,0.0
1,2003,12,103,0.0,0.0,1.0,0.0
1,1981,14,13,0.0,0.0,0.0,0.0
17,1997,4,37,0.0,0.0,0.0,0.0
10,1983,5,7,0.0,0.0,0.0,0.0
8,2007,8,228,0.0,0.0,0.0,0.0
4,1991,3,37,0.0,0.0,1.0,0.0
14,1960,9,162,0.0,0.0,0.0,0.0
8,2000,15,223,0.0,0.0,0.0,0.0
9,1993,13,162,0.0,1.0,0.0,0.0
8,2013,16,194,1.0,0.0,0.0,0.0
20,2014,16,2,0.0,0.0,0.0,0.0
19,1982,2,1126,0.0,0.0,0.0,0.0
14,2011,5,109,0.0,0.0,0.0,0.0
5,1966,6,578,0.0,0.0,0.0,0.0
19,1994,6,13,0.0,0.0,0.0,0.0
3,2011,3,5,0.0,1.0,0.0,0.0
20,1988,12,162,0.0,0.0,0.0,0.0
14,2009,12,401,0.0,0.0,0.0,0.0
19,1975,1,8,0.0,0.0,0.0,0.0
21,2010,14,162,0.0,0.0,0.0,0.0
13,1954,8,162,1.0,0.0,0.0,0.0
18,1999,13,162,0.0,0.0,0.0,0.0
0,1989,12,162,0.0,0.0,0.0,0.0
10,1961,6,578,0.0,0.0,0.0,0.0
3,2011,6,7,0.0,0.0,0.0,1.0
15,1992,3,785,0.0,0.0,0.0,0.0
16,2007,5,7,1.0,0.0,0.0,0.0
8,2008,6,7,0.0,0.0,0.0,0.0
18,2003,6,678,0.0,0.0,0.0,0.0
2,1982,3,12,0.0,1.0,0.0,0.0
13,2001,12,103,0.0,0.0,0.0,0.0
15,2015,19,3,1.0,0.0,0.0,0.0
7,1988,16,58,0.0,0.0,0.0,0.0
9,2008,8,228,0.0,0.0,0.0,0.0
12,2000,17,18,0.0,0.0,0.0,0.0
10,1979,3,1460,0.0,0.0,0.0,0.0
13,1985,4,7,0.0,0.0,0.0,0.0
15,1996,3,8,0.0,0.0,0.0,0.0
15,1993,9,153,0.0,0.0,0.0,0.0
5,1977,13,6,0.0,0.0,0.0,0.0
17,2012,6,7,0.0,0.0,0.0,0.0
11,1993,7,13,0.0,0.0,0.0,0.0
10,2008,10,103,0.0,0.0,0.0,1.0
18,1980,12,37,0.0,0.0,0.0,0.0
11,2000,13,401,0.0,0.0,0.0,0.0
5,2008,16,583,1.0,0.0,0.0,0.0
15,1996,16,45,0.0,0.0,0.0,0.0
2,2006,6,109,0.0,0.0,0.0,0.0
25,1994,3,37,0.0,0.0,0.0,0.0
7,2013,16,194,0.0,0.0,0.0,0.0
24,1991,11,401,0.0,0.0,0.0,0.0
16,2002,16,223,0.0,0.0,0.0,0.0
6,1989,8,153,0.0,0.0,0.0,0.0
10,1951,4,88,0.0,0.0,0.0,0.0
15,2002,10,153,0.0,0.0,0.0,0.0
1,1997,4,37,0.0,0.0,1.0,0.0
13,1991,14,109,0.0,0.0,0.0,0.0
16,2014,7,13,0.0,0.0,0.0,0.0
4,1981,1,12,0.0,0.0,0.0,0.0
12,1998,5,109,0.0,0.0,0.0,0.0
14,1988,12,162,0.0,0.0,0.0,0.0
1,2002,4,37,1.0,0.0,0.0,0.0
12,1960,4,6,1.0,0.0,0.0,0.0
23,1976,5,36,0.0,0.0,0.0,0.0
3,2006,8,153,1.0,0.0,0.0,0.0
14,2008,9,153,0.0,0.0,0.0,0.0
14,2008,12,4,0.0,0.0,0.0,1.0
17,1980,9,103,0.0,0.0,0.0,0.0
0,1990,7,432,0.0,0.0,0.0,0.0
3,2004,5,109,0.0,0.0,0.0,0.0
12,2012,16,0,0.0,0.0,0.0,0.0
1,1997,1,10,0.0,0.0,1.0,0.0
1,1962,4,81,0.0,0.0,0.0,0.0
16,2006,12,103,0.0,0.0,0.0,0.0
16,1984,5,484,0.0,0.0,0.0,0.0
17,2009,10,264,0.0,0.0,0.0,0.0
12,1951,4,88,0.0,0.0,0.0,0.0
18,2015,12,162,0.0,0.0,0.0,1.0
4,1987,3,401,1.0,0.0,0.0,0.0
12,2014,7,13,0.0,1.0,0.0,0.0
5,1978,15,485,0.0,0.0,0.0,0.0
8,2010,4,5,0.0,0.0,0.0,0.0
9,1988,16,58,0.0,0.0,0.0,0.0
20,2010,10,153,0.0,0.0,0.0,0.0
14,1977,14,162,0.0,0.0,0.0,0.0
15,2003,2,18,0.0,0.0,0.0,0.0
4,1977,12,678,0.0,0.0,0.0,0.0
5,1978,12,678,0.0,0.0,0.0,0.0
1,2001,12,103,0.0,0.0,1.0,0.0
13,2002,15,162,0.0,0.0,0.0,0.0
14,1974,9,484,0.0,0.0,0.0,0.0
3,2001,17,45,0.0,0.0,1.0,0.0
17,1987,10,678,0.0,0.0,0.0,0.0
23,1991,8,153,0.0,0.0,0.0,0.0
0,1961,1,7,0.0,0.0,0.0,0.0
6,1984,1,1126,0.0,1.0,0.0,0.0
16,1981,15,639,0.0,0.0,0.0,0.0
4,1965,4,790,1.0,0.0,0.0,0.0
18,1981,11,678,0.0,1.0,0.0,0.0
5,1987,10,678,0.0,0.0,0.0,0.0
7,1996,6,7,1.0,0.0,0.0,0.0
15,1981,12,6,0.0,0.0,0.0,0.0
7,1971,6,153,0.0,0.0,0.0,0.0
8,2013,4,7,0.0,0.0,0.0,0.0
8,1983,2,12,0.0,0.0,0.0,0.0
13,2006,10,223,0.0,0.0,0.0,0.0
24,1988,16,58,0.0,0.0,0.0,0.0
9,1958,2,7,1.0,0.0,0.0,0.0
17,1979,6,36,0.0,0.0,0.0,0.0
21,1987,8,103,0.0,0.0,0.0,0.0
4,1993,13,162,0.0,1.0,0.0,0.0
25,1991,8,153,0.0,0.0,0.0,0.0
16,1962,7,162,0.0,0.0,0.0,0.0
18,2015,16,161,1.0,0.0,0.0,0.0
7,1952,4,81,0.0,0.0,0.0,0.0
4,1976,11,678,0.0,0.0,0.0,0.0
0,1982,10,145,0.0,0.0,0.0,0.0
13,1959,3,6,0.0,0.0,0.0,0.0
5,2006,3,10,0.0,1.0,0.0,0.0
23,1991,12,162,0.0,0.0,0.0,0.0
14,1995,13,130,0.0,0.0,0.0,0.0
18,2004,18,785,1.0,0.0,0.0,0.0
8,2005,11,153,0.0,0.0,0.0,0.0
21,2000,16,45,0.0,0.0,0.0,0.0
9,2015,8,678,0.0,0.0,0.0,0.0
12,1969,9,332,0.0,0.0,0.0,0.0
7,2008,13,401,0.0,0.0,0.0,1.0
8,2003,12,103,0.0,0.0,0.0,0.0
4,1963,9,2227,0.0,0.0,0.0,0.0
14,2001,7,7,0.0,0.0,0.0,0.0
23,2011,2,18,0.0,0.0,0.0,0.0
14,1984,3,36,0.0,1.0,0.0,0.0
8,1992,10,103,0.0,0.0,0.0,0.0
5,1982,4,37,0.0,0.0,0.0,0.0
3,1973,5,36,1.0,0.0,0.0,0.0
4,1956,3,223,0.0,0.0,0.0,0.0
9,1996,10,153,0.0,1.0,0.0,0.0
14,1958,2,7,0.0,0.0,0.0,0.0
9,1955,6,20,0.0,0.0,0.0,0.0
15,1996,6,7,0.0,0.0,0.0,0.0
3,2011,14,18,0.0,1.0,0.0,0.0
19,1984,7,13,0.0,0.0,0.0,0.0
14,1979,10,103,0.0,0.0,0.0,0.0
20,1983,7,177,0.0,0.0,1.0,0.0
10,1959,2,223,0.0,0.0,0.0,0.0
0,1980,2,785,0.0,0.0,0.0,0.0
1,2008,15,18,1.0,0.0,0.0,0.0
11,1961,5,20,0.0,0.0,0.0,0.0
23,1979,1,8,0.0,0.0,0.0,0.0
19,1980,14,485,0.0,0.0,0.0,0.0
18,1998,8,228,0.0,0.0,0.0,0.0
21,1999,8,153,0.0,0.0,0.0,0.0
27,1960,3,223,0.0,0.0,0.0,0.0
8,1984,6,7,0.0,1.0,0.0,0.0
22,2006,15,162,0.0,0.0,0.0,0.0
9,1986,3,37,0.0,0.0,0.0,0.0
22,1976,13,162,0.0,0.0,0.0,0.0
3,1995,1,785,0.0,0.0,1.0,0.0
2,2015,4,7,1.0,0.0,0.0,0.0
22,1993,1,1460,0.0,0.0,0.0,0.0
1,2003,4,37,1.0,0.0,0.0,0.0
21,1988,15,45,0.0,0.0,0.0,0.0
15,1983,1,1126,0.0,0.0,0.0,0.0
13,2008,18,785,0.0,0.0,0.0,0.0
18,1996,6,7,0.0,0.0,0.0,0.0
22,2011,8,4,0.0,0.0,0.0,0.0
14,2004,14,401,0.0,0.0,1.0,0.0
15,1984,13,6,1.0,0.0,0.0,0.0
0,1979,14,13,0.0,0.0,0.0,0.0
